MlsNum,BathsTotal,Beds,GarageCap,DOMAct,Basement,ClosedDate,YearBuilt,DaysOnMarket,ListPrice,Renovated,SalesPrice,StreetNumDisplay,StreetName,Style,AssessTotal,
3570577,1.00,1,0,82,Y,10/10/2019,1968,73,179000,1988,169900,46-B3,SANDRA CIRCLE,"OneFloor,TwnIntUn,CnvStrct",9600,
3527054,1.00,2,1,70,Y,04/02/2019,1964,38,210000,,210000,44B,SANDRA CIRCLE,"MultiFlr,",111111,
3533371,1.00,2,1,126,Y,08/22/2019,,125,220000,,198000,10,West Ct,"OneFloor,",0,
3500378,1.00,2,1,180,Y,03/28/2019,,181,225000,2018,220000,37,SANDRA CIRCLE,"CnvStrct,OneFloor,TwnIntUn",9600,
3538435,1.00,2,1,121,N,10/22/2019,,184,233500,,225000,38 B,Sandra Circle,"OneFloor,SeeRem",0,
3530224,1.00,2,1,51,N,05/31/2019,,51,235000,,226000,38,Sandra Circle,"OneFloor,",0,
3521668,2.00,3,1,51,N,03/28/2019,1983,48,369000,2006,372000,122,MYRTLE AVE*,"HalfDupl,MultiFlr",96800,
3558051,2.10,3,0,70,Y,08/23/2019,1889,70,489000,2017,490000,538,W BROAD ST*,"Colonial,",57100,
3541511,2.00,3,1,79,Y,07/18/2019,1961,79,499000,,475000,40,SUMMIT CT*,"Ranch,",160800,
3578325,2.00,4,0,70,Y,11/25/2019,1890,66,499000,,473000,400,Springfield Avenue,"Colonial,",641700,
3600252,2.00,4,2,0,N,12/16/2019,1974,0,588000,,565000,1110,Irving,"Bi-Level,RanchRas",591200,
3502344,3.20,6,2,94,Y,02/26/2019,0,94,799000,2008,780000,252,CLARK ST*,"Colonial,",196100,
3542478,2.10,4,2,16,N,06/14/2019,,16,824900,,750000,1130,Minisink Way,"Custom,",226400,
3601391,5.10,5,1,18,Y,12/30/2020,2016,18,1085000,,1020000,850,WALLBERG AVE*,"Colonial,Custom",1190300,
3565106,3.10,6,2,34,Y,08/26/2019,1935,34,1095000,2005,999900,715,HIGHLAND AVE*,"Colonial,",1238600,
3561346,5.10,5,2,188,Y,12/31/2020,2019,188,1285000,,1260000,623,FAIRFIELD CIR*,"Custom,Colonial",167100,
3539587,3.10,5,2,181,Y,10/04/2019,,170,1299000,2014,1215000,922,MOUNTAIN VIEW CIR*,"Colonial,",278300,
3521776,4.10,5,2,117,Y,05/31/2019,2019,116,1399000,,1335000,619,FAIRFIELD CIR*,"Colonial,",167100,
3550339,4.10,5,2,40,Y,08/30/2019,1920,40,1399000,2008,1350000,150,LINCOLN RD*,"Colonial,",243200,
3557736,1.00,1,0,7,Y,08/02/2019,1968,7,189900,2018,189900,46B1,SANDRA CIRCLE-*,"OneFloor,TwnIntUn,CnvStrct",9600,
3533704,1.00,2,0,26,Y,05/07/2019,,26,212000,,208000,45A-2,Sandra Circle,"OneFloor,",0,
3594136,1.00,1,1,46,N,12/20/2019,9999,45,229000,1987,205000,515,TRINITY PL*,"FirstFlr,MultiFlr,OneFloor",294500,
3515552,2.00,2,0,84,Y,03/18/2019,1952,84,269960,,265000,311,WINDSOR AVE*,"HalfDupl,",60800,
3565782,2.00,2,0,76,Y,10/30/2019,1952,68,280000,,269000,125,WINDSOR AVE*,"HalfDupl,",67100,
3551393,1.00,2,0,33,Y,09/13/2019,1953,33,280500,,267500,228,WINDSOR AVE*,"HalfDupl,",62600,
3591600,1.00,2,0,22,Y,11/25/2019,1953,21,299000,,299000,226,WINDSOR AVE*,"HalfDupl,CapeCod",304100,
3565227,1.00,4,0,74,N,10/18/2019,1950,74,299900,,315000,1929,CENTRAL AVE*,"CapeCod,",84200,
3551081,2.00,2,0,29,Y,07/09/2019,,28,310000,,300000,114,WINDSOR AVE*,"HalfDupl,",57400,
3560033,1.10,3,0,24,Y,07/03/2019,1955,22,324900,2017,324900,134,WINDSOR AVE*,"HalfDupl,",45900,
3525965,1.00,2,1,36,N,04/12/2019,,36,335000,,320000,519,TRINITY PL 2CS,"OneFloor,",69200,
3547016,1.10,3,1,19,Y,05/30/2019,9999,15,349000,,375000,109,HAZEL AVE*,"Cottage,",83500,
