,Date,ActiveNum,AvLP,AvMP,NewLnum,NewLAVLP,NewLAVMP,UCNewNum,UCAVLP,UCAVMP,UCAvDOM,SoldNum,SoldAVLP,SoldAVMP,SoldAVDOM,SP/LP,SP/OLP
0,"Dec,2018 ",92 ,"$643,237 ","$622,400 ",13 ,"$593,200 ","$599,900 ",9 ,"$616,433 ","$535,000 ",75 ,12 ,"$563,750 ","$547,500 ",33 ,99% ,98% 
1,"Nov,2018 ",103 ,"$656,725 ","$625,000 ",15 ,"$672,145 ","$650,000 ",4 ,"$498,100 ","$501,700 ",28 ,12 ,"$616,283 ","$545,500 ",42 ,99% ,97% 
2,"Oct,2018 ",114 ,"$631,524 ","$599,000 ",22 ,"$552,127 ","$574,950 ",16 ,"$513,963 ","$446,450 ",53 ,3 ,"$544,333 ","$565,000 ",52 ,98% ,96% 
3,"Sep,2018 ",114 ,"$655,116 ","$622,400 ",31 ,"$667,061 ","$675,000 ",7 ,"$587,529 ","$576,000 ",36 ,10 ,"$629,750 ","$611,500 ",50 ,97% ,92% 
4,"Aug,2018 ",106 ,"$639,276 ","$615,800 ",30 ,"$619,803 ","$604,950 ",11 ,"$712,718 ","$619,000 ",78 ,20 ,"$629,505 ","$637,400 ",72 ,98% ,95% 
5,"Jul,2018 ",94 ,"$644,083 ","$624,950 ",18 ,"$595,261 ","$537,500 ",10 ,"$605,580 ","$662,450 ",55 ,17 ,"$677,502 ","$575,000 ",34 ,98% ,97% 
6,"Jun,2018 ",94 ,"$664,315 ","$634,000 ",33 ,"$650,333 ","$629,000 ",11 ,"$667,873 ","$599,900 ",59 ,25 ,"$668,060 ","$625,000 ",28 ,99% ,98% 
7,"May,2018 ",98 ,"$685,818 ","$644,944 ",41 ,"$701,102 ","$649,000 ",24 ,"$674,145 ","$600,000 ",28 ,10 ,"$664,275 ","$596,000 ",29 ,98% ,97% 
8,"Apr,2018 ",85 ,"$676,982 ","$634,900 ",39 ,"$669,294 ","$619,900 ",18 ,"$663,983 ","$607,450 ",25 ,15 ,"$591,893 ","$581,000 ",29 ,99% ,98% 
9,"Mar,2018 ",62 ,"$666,158 ","$629,000 ",21 ,"$673,214 ","$595,000 ",15 ,"$628,787 ","$589,000 ",28 ,14 ,"$529,286 ","$587,500 ",77 ,98% ,96% 
10,"Feb,2018 ",60 ,"$664,703 ","$629,000 ",26 ,"$643,992 ","$629,500 ",12 ,"$646,492 ","$607,000 ",24 ,7 ,"$533,071 ","$595,000 ",56 ,100% ,99% 
11,"Jan,2018 ",57 ,"$644,035 ","$629,000 ",16 ,"$613,481 ","$625,000 ",14 ,"$576,486 ","$655,000 ",95 ,11 ,"$595,091 ","$522,500 ",73 ,98% ,97% 
12,"Dec,2017 ",57 ,"$649,772 ","$629,000 ",5 ,"$726,400 ","$659,000 ",11 ,"$501,255 ","$529,900 ",65 ,15 ,"$622,200 ","$670,000 ",98 ,99% ,94% 
13,"Nov,2017 ",79 ,"$664,973 ","$635,000 ",19 ,"$669,874 ","$599,000 ",15 ,"$678,627 ","$678,500 ",96 ,21 ,"$501,214 ","$515,000 ",90 ,97% ,96% 
14,"Oct,2017 ",84 ,"$640,131 ","$629,000 ",14 ,"$629,071 ","$604,450 ",17 ,"$504,053 ","$575,000 ",75 ,11 ,"$517,318 ","$549,000 ",52 ,97% ,96% 
15,"Sep,2017 ",90 ,"$633,008 ","$619,450 ",25 ,"$670,492 ","$689,000 ",12 ,"$557,067 ","$561,950 ",81 ,15 ,"$603,767 ","$620,000 ",64 ,99% ,98% 
16,"Aug,2017 ",95 ,"$631,609 ","$625,000 ",13 ,"$582,838 ","$599,000 ",15 ,"$605,698 ","$580,000 ",81 ,24 ,"$602,043 ","$611,400 ",56 ,98% ,96% 
17,"Jul,2017 ",110 ,"$646,084 ","$639,000 ",25 ,"$644,436 ","$599,000 ",20 ,"$632,765 ","$659,000 ",47 ,19 ,"$596,780 ","$540,000 ",27 ,99% ,98% 
18,"Jun,2017 ",110 ,"$644,202 ","$644,450 ",34 ,"$631,094 ","$659,000 ",16 ,"$567,806 ","$499,500 ",43 ,25 ,"$646,023 ","$597,000 ",34 ,98% ,98% 
19,"May,2017 ",112 ,"$651,379 ","$609,000 ",44 ,"$639,561 ","$630,000 ",25 ,"$606,836 ","$539,000 ",39 ,17 ,"$579,956 ","$555,000 ",64 ,98% ,96% 
20,"Apr,2017 ",83 ,"$666,522 ","$599,000 ",30 ,"$684,080 ","$599,000 ",13 ,"$723,815 ","$624,000 ",33 ,17 ,"$565,836 ","$585,000 ",54 ,99% ,98% 
21,"Mar,2017 ",80 ,"$644,596 ","$622,000 ",29 ,"$668,272 ","$640,000 ",20 ,"$587,540 ","$627,000 ",46 ,9 ,"$594,556 ","$590,000 ",44 ,100% ,99% 
22,"Feb,2017 ",71 ,"$615,497 ","$575,000 ",30 ,"$616,146 ","$579,500 ",17 ,"$560,800 ","$565,000 ",72 ,7 ,"$652,857 ","$660,000 ",102 ,95% ,91% 
23,"Jan,2017 ",57 ,"$602,004 ","$549,000 ",21 ,"$612,057 ","$549,000 ",9 ,"$566,156 ","$634,900 ",86 ,13 ,"$532,219 ","$475,000 ",95 ,98% ,94% 
24,"Dec,2016 ",57 ,"$618,780 ","$595,000 ",8 ,"$550,238 ","$599,000 ",10 ,"$574,290 ","$515,000 ",85 ,18 ,"$454,458 ","$435,375 ",47 ,98% ,96% 
25,"Nov,2016 ",71 ,"$607,076 ","$550,000 ",13 ,"$576,731 ","$425,200 ",15 ,"$501,207 ","$485,000 ",62 ,14 ,"$701,571 ","$696,000 ",55 ,98% ,97% 
26,"Oct,2016 ",85 ,"$597,445 ","$550,000 ",15 ,"$549,313 ","$539,900 ",17 ,"$546,823 ","$524,999 ",41 ,8 ,"$612,063 ","$552,000 ",75 ,96% ,93% 
27,"Sep,2016 ",94 ,"$629,241 ","$592,500 ",30 ,"$632,997 ","$657,000 ",8 ,"$763,363 ","$730,000 ",67 ,7 ,"$596,714 ","$500,000 ",64 ,95% ,93% 
28,"Aug,2016 ",80 ,"$623,370 ","$559,400 ",16 ,"$482,188 ","$442,400 ",8 ,"$571,738 ","$549,000 ",66 ,15 ,"$580,126 ","$540,000 ",51 ,97% ,96% 
29,"Jul,2016 ",83 ,"$654,975 ","$599,000 ",15 ,"$587,427 ","$595,000 ",9 ,"$656,767 ","$599,000 ",60 ,19 ,"$650,932 ","$640,000 ",43 ,98% ,96% 
30,"Jun,2016 ",96 ,"$690,565 ","$647,000 ",23 ,"$732,795 ","$725,000 ",17 ,"$790,165 ","$649,900 ",55 ,21 ,"$658,911 ","$560,000 ",31 ,99% ,99% 
31,"May,2016 ",100 ,"$646,337 ","$564,500 ",28 ,"$610,729 ","$541,950 ",17 ,"$547,865 ","$500,000 ",46 ,20 ,"$681,983 ","$613,000 ",42 ,99% ,98% 
32,"Apr,2016 ",100 ,"$651,698 ","$572,500 ",32 ,"$699,319 ","$624,950 ",23 ,"$657,943 ","$569,900 ",37 ,14 ,"$621,571 ","$484,000 ",61 ,96% ,94% 
33,"Mar,2016 ",99 ,"$648,350 ","$569,000 ",38 ,"$659,082 ","$574,000 ",22 ,"$638,400 ","$549,000 ",54 ,9 ,"$480,639 ","$497,000 ",118 ,96% ,92% 
34,"Feb,2016 ",79 ,"$659,954 ","$575,000 ",26 ,"$660,100 ","$574,500 ",10 ,"$652,180 ","$654,450 ",62 ,5 ,"$650,600 ","$655,000 ",90 ,98% ,93% 
35,"Jan,2016 ",67 ,"$619,394 ","$532,000 ",16 ,"$720,663 ","$674,000 ",6 ,"$519,983 ","$494,000 ",91 ,12 ,"$579,625 ","$607,000 ",90 ,98% ,96% 
36,"Dec,2015 ",69 ,"$618,780 ","$525,000 ",5 ,"$592,600 ","$499,000 ",10 ,"$625,800 ","$562,000 ",101 ,12 ,"$562,000 ","$495,500 ",80 ,97% ,94% 
37,"Nov,2015 ",88 ,"$599,920 ","$522,000 ",13 ,"$509,608 ","$449,000 ",13 ,"$562,292 ","$597,000 ",86 ,11 ,"$551,091 ","$505,000 ",110 ,97% ,93% 
38,"Oct,2015 ",100 ,"$619,939 ","$541,000 ",24 ,"$624,821 ","$580,500 ",11 ,"$631,636 ","$550,000 ",91 ,9 ,"$552,611 ","$470,000 ",40 ,96% ,96% 
39,"Sep,2015 ",94 ,"$614,523 ","$527,000 ",19 ,"$674,521 ","$519,000 ",11 ,"$602,173 ","$519,000 ",74 ,11 ,"$603,455 ","$540,000 ",76 ,96% ,93% 
40,"Aug,2015 ",95 ,"$614,420 ","$554,900 ",14 ,"$542,621 ","$444,450 ",13 ,"$608,892 ","$575,000 ",65 ,21 ,"$593,376 ","$553,500 ",46 ,98% ,97% 
41,"Jul,2015 ",110 ,"$600,969 ","$556,950 ",24 ,"$597,413 ","$594,450 ",16 ,"$527,919 ","$490,000 ",62 ,22 ,"$602,591 ","$627,000 ",50 ,99% ,97% 
42,"Jun,2015 ",109 ,"$607,543 ","$554,900 ",28 ,"$645,335 ","$577,000 ",12 ,"$517,242 ","$534,000 ",30 ,19 ,"$622,087 ","$590,000 ",32 ,99% ,98% 
43,"May,2015 ",108 ,"$612,165 ","$584,450 ",39 ,"$595,715 ","$529,000 ",20 ,"$659,380 ","$639,000 ",48 ,9 ,"$533,556 ","$510,000 ",123 ,98% ,93% 
44,"Apr,2015 ",90 ,"$626,598 ","$599,000 ",37 ,"$687,746 ","$639,000 ",15 ,"$610,133 ","$569,000 ",51 ,10 ,"$564,000 ","$512,500 ",47 ,98% ,96% 
45,"Mar,2015 ",75 ,"$607,477 ","$589,000 ",28 ,"$551,418 ","$549,250 ",13 ,"$650,215 ","$624,900 ",70 ,9 ,"$672,722 ","$619,000 ",49 ,96% ,96% 
46,"Feb,2015 ",68 ,"$636,504 ","$599,000 ",18 ,"$673,017 ","$611,950 ",12 ,"$614,200 ","$607,000 ",42 ,7 ,"$620,929 ","$575,000 ",74 ,96% ,93% 
47,"Jan,2015 ",65 ,"$640,949 ","$619,000 ",13 ,"$668,900 ","$649,000 ",7 ,"$682,400 ","$639,000 ",78 ,9 ,"$563,722 ","$475,000 ",77 ,97% ,92% 
48,"Dec,2014 ",80 ,"$669,238 ","$619,900 ",8 ,"$664,487 ","$629,450 ",12 ,"$646,892 ","$567,000 ",72 ,9 ,"$460,278 ","$470,000 ",73 ,96% ,92% 
49,"Nov,2014 ",85 ,"$657,296 ","$599,000 ",10 ,"$739,780 ","$554,450 ",5 ,"$452,400 ","$449,000 ",63 ,11 ,"$501,500 ","$439,000 ",31 ,97% ,97% 
50,"Oct,2014 ",101 ,"$617,670 ","$584,900 ",26 ,"$588,288 ","$537,000 ",14 ,"$470,971 ","$437,450 ",66 ,6 ,"$566,333 ","$492,500 ",55 ,99% ,96% 
